ID,p0,p1,contrast,relative_ID,phonemic_contrast,edit success? (F),edit success? (M),notes,Legend
0,jack,shack,vf,1,/ʒ/ v /ʃ/,,,OOO,"NOTE: p0 = unvoiced, p1 = voiced"
1,sack,zach,vf,2,/s/ v /z/,,,,"vowel contrasts: p0 = high, p1 = low"
2,belief,believe,vf,3,/f/ v /v/,,,!,CODING: vf := voiced fricative ; hVlV = high low vowel ; vs :=  voiced stops
3,teeth,teethe,vf,4,/Ɵ/ vs /ð/,0,0,,OOO := voicing out of order
4,thigh,thy,vf,5,/Ɵ/ vs /ð/,,,,! := updated word pair
5,graph,grave,vf,6,/f/ v /v/,,,,
6,fan,van,vf,7,/f/ v /v/,0,,,Tokens go from UNvoiced -> voiced
7,proof,proove,vf,8,/f/ v /v/,,,,
8,wife,wive,vf,9,/f/ v /v/,,,,
9,fault,vault,vf,10,/f/ v /v/,,,!,
10,file,vile,vf,11,/f/ v /v/,0,,,
11,ice,eyes,vf,12,/s/ v /z/,,,,
12,loose,lose,vf,13,/s/ v /z/,,,,
13,price,prize,vf,14,/s/ v /z/,,,,
14,sip,zip,vf,15,/s/ v /z/,,,,
15,sue,zoo,vf,16,/s/ v /z/,,0,,
16,tense,tens,vf,17,/s/ v /z/,,,,
17,trace,trays,vf,18,/s/ v /z/,,,,
18,ass,as,vf,19,/s/ v /z/,0,,,
19,deafen,Devon,vf,20,/f/ v /v/,,,!,
20,bus,buzz,vf,21,/s/ v /z/,,,,
21,bias,buyers,vf,22,/s/ v /z/,,,,
22,cuss,cuz,vf,23,/s/ v /z/,0,,,
23,sink,zinc,vf,24,/s/ v /z/,,,,
24,face,phase,vf,25,/s/ v /z/,0,,,
25,fence,fens,vf,26,/s/ v /z/,,,,
26,fleece,fleas,vf,27,/s/ v /z/,0,,,
27,fuss,fuzz,vf,28,/s/ v /z/,,,,
28,calf,calve,vf,29,/f/ v /v/,0,,,
29,define,divine,vf,30,/f/ v /v/,0,0,,
30,fairy,vary,vf,31,/f/ v /v/,,,,
31,fail,vale,vf,32,/f/ v /v/,,,,
32,fast,vast,vf,33,/f/ v /v/,,,,
33,fat,vat,vf,34,/f/ v /v/,0,,,
34,fender,vendor,vf,35,/f/ v /v/,,,,
35,fetid,vetted,vf,36,/f/ v /v/,,,,
36,fizz,viz,vf,37,/f/ v /v/,,,,
37,fox,vox,vf,38,/f/ v /v/,0,,,
38,focal,vocal,vf,39,/f/ v /v/,0,,,
39,life,live,vf,40,/f/ v /v/,,,,
40,refuse,reviews,vf,41,/f/ v /v/,0,0,,
41,rifle,rival,vf,42,/f/ v /v/,,,,
42,wafer,waiver,vf,43,/f/ v /v/,,,,
43,safe,save,vf,44,/f/ v /v/,,,,
44,shelf,shelve,vf,45,/f/ v /v/,,,,
45,batch,badge,vf,46,/tʃ/ v /dʒ/ ,0,,,
46,beseech,besiege,vf,47,/tʃ/ v /dʒ/ ,,0,,
47,chain,Jane,vf,48,/tʃ/ v /dʒ/ ,,,,
48,cheer,jeer,vf,49,/tʃ/ v /dʒ/ ,,,,
49,cherry,jerry,vf,50,/tʃ/ v /dʒ/ ,,,,
50,chest,jest,vf,51,/tʃ/ v /dʒ/ ,,,,
51,race,raze,vf,52,/s/ v /z/,0,,,
52,sap,zap,vf,53,/s/ v /z/,,,,
53,hearse,hers,vf,54,/s/ v /z/,,0,,
54,chin,gin,vf,55,/tʃ/ v /dʒ/ ,,,,
55,lace,laze,vf,56,/s/ v /z/,,,,
56,manse,mans,vf,57,/s/ v /z/,,0,,
57,moose,moos,vf,58,/s/ v /z/,,,,
58,niece,knees,vf,59,/s/ v /z/,0,0,,
59,pence,pens,vf,60,/s/ v /z/,0,0,,
60,bead,bad,Vhl,1,/i/ v /æ/,,,,
61,deem,damn,Vhl,2,/i/ v /æ/,,,,
62,neat,gnat,Vhl,3,/i/ v /æ/,,,,
63,peach,patch,Vhl,4,/i/ v /æ/,,,,
64,weak,wack,Vhl,5,/i/ v /æ/,,,,
65,teat,tat,Vhl,6,/i/ v /æ/,0,,,
66,seek,sack,Vhl,7,/i/ v /æ/,,,,
67,peter,patter,Vhl,8,/i/ v /æ/,0,,,
68,mean,man,Vhl,9,/i/ v /æ/,,0,,
69,meat,mat,Vhl,10,/i/ v /æ/,0,,,
70,deed,dad,Vhl,11,/i/ v /æ/,,,,
71,ease,as,Vhl,12,/i/ v /æ/,,,,
72,beam,bum,Vhl,13,/i/ v /ʌ/,,,,
73,beef,buff,Vhl,14,/i/ v /ʌ/,,,,
74,bleed,blood,Vhl,15,/i/ v /ʌ/,,0,,
75,cheek,chuck,Vhl,16,/i/ v /ʌ/,,,,
76,clique,cluck,Vhl,17,/i/ v /ʌ/,,0,,
77,dream,drum,Vhl,18,/i/ v /ʌ/,,,,
78,heel,hull,Vhl,19,/i/ v /ʌ/,,,,
79,league,lug,Vhl,20,/i/ v /ʌ/,,,,
80,leaky,lucky,Vhl,21,/i/ v /ʌ/,,,,
81,meet,mutt,Vhl,22,/i/ v /ʌ/,,,,
82,peace,pus,Vhl,23,/i/ v /ʌ/,0,,,
83,streak,struck,Vhl,24,/i/ v /ʌ/,,,,
84,teach,touch,Vhl,25,/i/ v /ʌ/,,,,
85,teens,tons,Vhl,26,/i/ v /ʌ/,0,,,
86,chick,chuck,Vhl,27,/ɪ/ v /ʌ/ ,,,,
87,bin,bun,Vhl,28,/ɪ/ v /ʌ/ ,,,,
88,begin,begun,Vhl,29,/ɪ/ v /ʌ/ ,,,,
89,hard,hood,Vhl,30,/ɑ/ v /ʊ/,,,,
90,shard,should,Vhl,31,/ɑ/ v /ʊ/,,,,
91,shark,shook,Vhl,32,/ɑ/ v /ʊ/,,,,
92,nark,nook,Vhl,33,/ɑ/ v /ʊ/,,0,,
93,khaki,cookie,Vhl,34,/ɑ/ v /ʊ/,,,,
94,fart,foot,Vhl,35,/ɑ/ v /ʊ/,0,,,
95,bark,book,Vhl,36,/ɑ/ v /ʊ/,,,,
96,prod,prude,Vhl,37,/ɒ/ v /u/,,,,
97,prof,proof,Vhl,38,/ɒ/ v /u/,,,,
98,stop,stoop,Vhl,39,/ɒ/ v /u/,,,,
99,was,woos,Vhl,40,/ɒ/ v /u/,,,,
100,tot,toot,Vhl,41,/ɒ/ v /u/,,,,
101,sop,soup,Vhl,42,/ɒ/ v /u/,,,,
102,loss,loose,Vhl,43,/ɒ/ v /u/,,,,
103,lop,loop,Vhl,44,/ɒ/ v /u/,,,,
104,fit,fat,Vhl,45,/ɪ/ v /æ/ ,,,,
105,dim,damn,Vhl,46,/ɪ/ v /æ/ ,,,,
106,chip,chap,Vhl,47,/ɪ/ v /æ/ ,,0,,
107,limb,lam,Vhl,48,/ɪ/ v /æ/ ,,,,
108,miss,mass,Vhl,49,/ɪ/ v /æ/ ,0,,,
109,nip,knap,Vhl,50,/ɪ/ v /æ/ ,,,,
110,pill,pal,Vhl,51,/ɪ/ v /æ/ ,,,,
111,ring,rang,Vhl,52,/ɪ/ v /æ/ ,,,,
112,six,sax,Vhl,53,/ɪ/ v /æ/ ,0,,,
113,slick,slack,Vhl,54,/ɪ/ v /æ/ ,,,,
114,swim,swam,Vhl,55,/ɪ/ v /æ/ ,,,,
115,tick,tack,Vhl,56,/ɪ/ v /æ/ ,,,,
116,trim,tram,Vhl,57,/ɪ/ v /æ/ ,,0,,
117,wiggle,waggle,Vhl,58,/ɪ/ v /æ/ ,,,,
118,wink,wank,Vhl,59,/ɪ/ v /æ/ ,,0,,
119,zips,zaps,Vhl,60,/ɪ/ v /æ/ ,,,,
120,bought,bawd,vs,1,/t/ v /d/,,,,
121,at,add,vs,2,/t/ v /d/,0,,,
122,atom,Adam,vs,3,/t/ v /d/,,,,
123,bat,bad,vs,4,/t/ v /d/,0,,,
124,Bart,bard,vs,5,/t/ v /d/,,,,
125,bet,bed,vs,6,/t/ v /d/,,,,
126,boot,booed,vs,7,/t/ v /d/,,,,
127,bleat,bleed,vs,8,/t/ v /d/,,0,,
128,cot,cod,vs,9,/t/ v /d/,,,,
129,cat,cad,vs,10,/t/ v /d/,0,,,
130,clot,clod,vs,11,/t/ v /d/,,,,
131,fret,fred,vs,12,/t/ v /d/,,,,
132,tab,dab,vs,13,/t/ v /d/,,,,
133,tale,dale,vs,14,/t/ v /d/,,,,
134,tame,dame,vs,15,/t/ v /d/,,,,
135,tan,Dan,vs,16,/t/ v /d/,,,,
136,time,dime,vs,17,/t/ v /d/,,,,
137,toll,dole,vs,18,/t/ v /d/,,,,
138,tomb,doom,vs,19,/t/ v /d/,,,,
139,ton,done,vs,20,/t/ v /d/,,,,
140,town,down,vs,21,/t/ v /d/,,,,
141,trill,drill,vs,22,/t/ v /d/,,,,
142,try,dry,vs,23,/t/ v /d/,,,,
143,vent,vend,vs,24,/t/ v /d/,,,,
144,kate,gait,vs,25,/k/ v /g/,0,,,
145,kill,gill,vs,26,/k/ v /g/,,,,
146,Kay,gay,vs,27,/k/ v /g/,,,,
147,Kremlin,gremlin,vs,28,/k/ v /g/,0,,,
148,league,leek,vs,29,/k/ v /g/,,,,
149,lock,log,vs,30,/k/ v /g/,,0,,
150,rick,rig,vs,31,/k/ v /g/,,0,149-155 switch name,
151,smock,smog,vs,32,/k/ v /g/,,0,,
152,tuck,tug,vs,33,/k/ v /g/,,0,,
153,cat,gat,vs,34,/k/ v /g/,,0,,
154,cave,gave,vs,35,/k/ v /g/,,,,
155,class,glass,vs,36,/k/ v /g/,,,,
156,plank,blank,vs,37,/p/ v /b/,,,,
157,pin,bin,vs,38,/p/ v /b/,,,,
158,pile,bile,vs,39,/p/ v /b/,0,,,
159,pi,by,vs,40,/p/ v /b/,0,,,
160,peed,bead,vs,41,/p/ v /b/,,0,,
161,peach,beach,vs,42,/p/ v /b/,,,,
162,pay,bay,vs,43,/p/ v /b/,,,,
163,patty,batty,vs,44,/p/ v /b/,,0,,
164,pat,bat,vs,45,/p/ v /b/,,,,
165,paste,baste,vs,46,/p/ v /b/,,,,
166,par,bar,vs,47,/p/ v /b/,,,,
167,pang,bang,vs,48,/p/ v /b/,,,,
168,pant,bant,vs,49,/p/ v /b/,,,,
169,poop,boop,vs,50,/p/ v /b/,,,,
170,pan,ban,vs,51,/p/ v /b/,,,,
171,pair,bare,vs,52,/p/ v /b/,,,,
172,pain,bane,vs,53,/p/ v /b/,,,,
173,pack,back,vs,54,/p/ v /b/,0,,,
174,pee,bee,vs,55,/p/ v /b/,,0,,
175,lope,lobe,vs,56,/p/ v /b/,,,,
176,lip,lib,vs,57,/p/ v /b/,,,,
177,nap,nab,vs,58,/p/ v /b/,,,,
178,dep,deb,vs,59,/p/ v /b/,,,,
179,cop,cob,vs,60,/p/ v /b/,0,,,
,,,,,,,0,,
