ID,p0,p1
0,antique,antic
1,antiques,antics
2,ries,eyries
3,artiste,artist
4,artistes,artists
5,axes,axes
6,s,biz
7,bailee,bailey
8,bailees,baileys
9,bargees,barges
10,bases,bases
11,bases,basses
12,beach,bitch
13,beached,bitched
14,beaches,bitches
15,beaching,bitching
16,bead,bid
17,beading,bidding
18,beads,bids
19,beaker,bicker
20,beakers,bickers
21,bean,bin
22,beans,bins
23,beat,bit
24,beaten,bitten
25,beats,bits
26,beater,bitter
27,beaters,bitters
28,beech,bitch
29,beef,biff
30,beefed,biffed
31,beefing,biffing
32,beefs,biffs
33,been,bin
34,bees,biz
35,beet,bit
36,beets,bits
37,beta,bitter
38,betas,bitters
39,bleats,blitz
40,bleep,blip
41,bleeps,blips
42,bootee,booty
43,breaches,breeches
44,bream,brim
45,aesars,scissors
46,cc,sissy
47,ceased,cyst
48,ceases,cissies
49,elia,sillier
50,cervices,services
51,cheap,chip
52,cheat,chit
53,cheats,chits
54,cheek,chick
55,cheeks,chicks
56,cheep,chip
57,cheeped,chipped
58,cheeping,chipping
59,cheeps,chips
60,clique,click
61,cliques,clicks
62,creak,crick
63,creaked,cricked
64,creaking,cricking
65,creaks,cricks
66,creek,crick
67,creeks,cricks
68,deal,dill
69,dean,din
70,deans,dins
71,decoy,decoy
72,decoys,decoys
73,deed,did
74,deem,dim
75,deemed,dimmed
76,deeming,dimming
77,deems,dims
78,deep,dip
79,deeper,dipper
80,deeps,dips
81,defect,defect
82,defects,defects
83,defile,defile
84,defiles,defiles
85,defuse,diffuse
86,defused,diffused
87,dilettanti,dilettante
88,draftee,draughty
89,s,ditties
90,s,is
91,en,in
92,en,inn
93,each,itch
94,ease,is
95,eat,it
96,eats,its
97,eats,it
98,eel,ill
99,eels,ills
100,ellipses,ellipsis
101,feast,fist
102,feasts,fists
103,feat,fit
104,feats,fits
105,feel,fill
106,feeling,filling
107,feelings,fillings
108,feels,fills
109,fees,fizz
110,feet,fit
111,field,filled
112,fleet,flit
113,fleeting,flitting
114,fleets,flits
115,forefeet,forfeit
116,foresees,forces
117,freely,frilly
118,frees,frizz
119,freezes,frizzes
120,freezing,frizzing
121,freesia,frizzier
122,freeze,frizz
123,frieze,frizz
124,gelatine,gelatin
125,ene,djinn
126,gene,djinn
127,genes,djinns
128,ene,gin
129,gene,gin
130,genes,gins
131,glebe,glib
132,greased,grist
133,greed,grid
134,green,grin
135,greens,grins
136,greet,grit
137,greeted,gritted
138,greeting,gritting
