ID,p0,p1
163754,pained,waned
40167,stuns,stains
17871,bran,brine
85553,malingered,malingers
72043,butting,tutting
59196,pounds,sounds
148934,pop,poll
130105,barrows,harrows
133682,heave,eve
132183,hated,mated
91970,taught,court
53820,ties,tears
125394,foes,phone
49382,by,beau
140833,barbs,barns
155343,lake,rake
59046,plaits,slats
46390,keels,coals
135382,bordered,boredom
104198,feed,feoff
74410,tats,fats
69159,fibre,finer
26280,port,putt
36132,termed,tamed
94580,marked,mast
72288,chit,chid
78861,tight,write
90430,poll,coal
127029,bad,bash
86546,tonsured,tonsures
117893,souls,holes
37286,incarnate,incarnate
17703,man,main
103032,barriers,farriers
60933,pare,ne
52676,eyepiece,earpiece
106198,caffs,cams
25023,spits,sports
93673,recurred,referred
145896,shriven,shrivel
84962,dissembled,dissembles
146057,wen,well
106422,fortifies,mortifies
156095,leak,cheek
43320,brawn,brine
46089,alloying,allowing
155546,louts,routs
30924,souped,soaped
144405,reservations,renovations
22134,apt,opt
127577,gold,shoaled
167877,panelled,channelled
107625,files,whiles
28702,field,fooled
103647,skirt,scurf
45634,balling,boiling
58173,praise,phrase
96657,topically,toppingly
138494,mapping,napping
3765,bee,by
30842,moves,mauves
109438,surfing,serving
63749,kiss,kips
163999,pipped,whipped
49054,drain,drone
69772,bawd,roared
134612,born,morn
124898,onus,owners
113788,pill,sill
44981,buying,bowing
126023,bells,belch
73644,toques,coax
148382,seeming,seamy
122605,gibed,gibes
132146,ansard,mansard
158892,thumps,rumps
123342,reconnoitred,reconnoitres
50087,ordeaux,board
83534,divide,device
69127,but,nut
140292,appointment,anointment
140935,bodes,nodes
132319,hound,mound
114086,adverb,adverse
36570,furls,fouls
3204,seaweed,seaward
51655,wind,wound
171567,forties,forges
106603,farrowing,narrowing
131639,thence,hence
106940,father,lather
79892,carp,card
74465,tether,feather
56601,paddy,caddie
96009,bloke,blown
87655,seedier,seamier
138327,hunch,munch
19130,tit,tart
160098,mushier,rushier
18805,ima,llama
