ID,p0,p1,contrast,relative_ID,phonemic_contrast
0,jack,shack,vf,1,/_/ v /_/
1,sack,zach,vf,2,/s/ v /z/
2,fawn,von,vf,3,/f/ v /v/
3,fix,Vick's,vf,4,/_/ vs /_/
4,thigh,thy,vf,5,/_/ vs /_/
5,cheese,G's,vf,6,/t_/ v /d_/
6,fan,van,vf,7,/f/ v /v/
7,chunk,junk,vf,8,/t_/ v /d_/
8,choke,joke,vf,9,/t_/ v /d_/
9,fault,vault,vf,10,/f/ v /v/
10,file,vile,vf,11,/f/ v /v/
11,chive,jive,vf,12,/t_/ v /d_/
12,chug,jug,vf,13,/t_/ v /d_/
13,chain,Jane,vf,14,/t_/ v /d_/
14,sip,zip,vf,15,/s/ v /z/
15,sue,zoo,vf,16,/s/ v /z/
16,chew,jew,vf,17,/s/ v /z/
17,chip,gyp,vf,18,/s/ v /z/
18,choice,joice,vf,19,/s/ v /z/
19,chump,jump,vf,20,/f/ v /v/
20,cheap,jeep,vf,21,/s/ v /z/
21,foul,vowel,vf,22,/f/ v /v/
22,feel,veal,vf,23,/s/ v /z/
23,sink,zinc,vf,24,/s/ v /z/
24,see,zee,vf,25,/s/ v /z/
25,sown,zone,vf,26,/s/ v /z/
26,said,zed,vf,27,/s/ v /z/
27,chunk,junk,vf,28,/t_/ v /d_/
28,chive,jive,vf,29,/t_/ v /d_/
29,cello,jello,vf,30,/t_/ v /d_/
30,fairy,vary,vf,31,/f/ v /v/
31,fail,vale,vf,32,/f/ v /v/
32,fast,vast,vf,33,/f/ v /v/
33,fat,vat,vf,34,/f/ v /v/
34,fender,vendor,vf,35,/f/ v /v/
35,fetid,vetted,vf,36,/f/ v /v/
36,fizz,viz,vf,37,/f/ v /v/
37,fox,vox,vf,38,/f/ v /v/
38,focal,vocal,vf,39,/f/ v /v/
39,life,live,vf,40,/t_/ v /d_/
40,fain,vein,vf,41,/f/ v /v/
41,few,view,vf,42,/f/ v /v/
42,fest,vest,vf,43,/f/ v /v/
43,foal,vole,vf,44,/f/ v /v/
44,fine,vine,vf,45,/f/ v /v/
45,choose,juice,vf,46,/t_/ v /d_/
46,char,jar,vf,47,/t_/ v /d_/
47,chain,Jane,vf,48,/t_/ v /d_/
48,cheer,jeer,vf,49,/t_/ v /d_/
49,cherry,jerry,vf,50,/t_/ v /d_/
50,chest,jest,vf,51,/t_/ v /d_/
51,seal,zeal,vf,52,/s/ v /z/
52,sap,zap,vf,53,/s/ v /z/
